GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
SLIV_25215,pyruvate phosphate dikinase,D      SLIV_25215 pyruvate phosphate dikinase,"K01006 ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_36855,"ppdK; Pyruvate, phosphate dikinase","D      SLIV_36855 ppdK; Pyruvate, phosphate dikinase","K01006 ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_03655,aceE1; Pyruvate dehydrogenase E1 component,D      SLIV_03655 aceE1; Pyruvate dehydrogenase E1 component,K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25830,aceE2; Pyruvate dehydrogenase E1 component,D      SLIV_25830 aceE2; Pyruvate dehydrogenase E1 component,K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26795,aceE3; Pyruvate dehydrogenase E1 component,D      SLIV_26795 aceE3; Pyruvate dehydrogenase E1 component,K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26805,dihydrolipoamide succinyltransferase,D      SLIV_26805 dihydrolipoamide succinyltransferase,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26810,dihydrolipoyl dehydrogenase,D      SLIV_26810 dihydrolipoyl dehydrogenase,K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06795,korA1; 2-oxoglutarate oxidoreductase subunit,D      SLIV_06795 korA1; 2-oxoglutarate oxidoreductase subunit KorA,K00174 korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_15295,korA2; 2-oxoglutarate oxidoreductase subunit,D      SLIV_15295 korA2; 2-oxoglutarate oxidoreductase subunit KorA,K00174 korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06800,korB1; 2-oxoglutarate oxidoreductase subunit,D      SLIV_06800 korB1; 2-oxoglutarate oxidoreductase subunit KorB,K00175 korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_15300,korB2; 2-oxoglutarate oxidoreductase subunit,D      SLIV_15300 korB2; 2-oxoglutarate oxidoreductase subunit KorB,K00175 korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_29215,alcohol dehydrogenase,D      SLIV_29215 alcohol dehydrogenase,K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_02495,oxidoreductase,D      SLIV_02495 oxidoreductase,"K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_36900,Alcohol dehydrogenase,D      SLIV_36900 Alcohol dehydrogenase,"K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_13650,adhc1; NADP-dependent alcohol dehydrogenase,D      SLIV_13650 adhc1; NADP-dependent alcohol dehydrogenase C 1,K13979 yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_17040,NADP-dependent alcohol dehydrogenase,D      SLIV_17040 NADP-dependent alcohol dehydrogenase,K13979 yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03580,3-succinoylsemialdehyde-pyridine dehydrogena,D      SLIV_03580 3-succinoylsemialdehyde-pyridine dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13810,Aldehyde dehydrogenase 5,D      SLIV_13810 Aldehyde dehydrogenase 5,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_20670,Putative aldehyde dehydrogenase,D      SLIV_20670 Putative aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_29210,aldehyde dehydrogenase,D      SLIV_29210 aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31930,putative aldehyde dehydrogenase,D      SLIV_31930 putative aldehyde dehydrogenase,K00138 aldB; aldehyde dehydrogenase [EC:1.2.1.-],Metabolism,B  09101 Carbohydrate metabolism
SLIV_07160,acetyl-coenzyme A synthetase,D      SLIV_07160 acetyl-coenzyme A synthetase,K01895 ACSS1_2; acetyl-CoA synthetase [EC:6.2.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_20470,acsA; Acetyl-coenzyme A synthetase,D      SLIV_20470 acsA; Acetyl-coenzyme A synthetase,K01895 ACSS1_2; acetyl-CoA synthetase [EC:6.2.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_20035,hypothetical protein,D      SLIV_20035 hypothetical protein,K01785 galM; aldose 1-epimerase [EC:5.1.3.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25665,aldose 1-epimerase,D      SLIV_25665 aldose 1-epimerase,K01785 galM; aldose 1-epimerase [EC:5.1.3.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25735,galM; Aldose 1-epimerase,D      SLIV_25735 galM; Aldose 1-epimerase,K01785 galM; aldose 1-epimerase [EC:5.1.3.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_02095,celB; Phosphoglucomutase,D      SLIV_02095 celB; Phosphoglucomutase,K01835 pgm; phosphoglucomutase [EC:5.4.2.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13090,ppgK; Polyphosphate glucokinase,D      SLIV_13090 ppgK; Polyphosphate glucokinase,K00886 ppgK; polyphosphate glucokinase [EC:2.7.1.63],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13500,pckG; Phosphoenolpyruvate carboxykinase [GTP,D      SLIV_13500 pckG; Phosphoenolpyruvate carboxykinase [GTP],K01596 E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05160,glucosidase,D      SLIV_05160 glucosidase,K01222 E3.2.1.86A; 6-phospho-beta-glucosidase [EC:3.2.1.86],Metabolism,B  09101 Carbohydrate metabolism
SLIV_24370,sugar hydrolase,D      SLIV_24370 sugar hydrolase,K01222 E3.2.1.86A; 6-phospho-beta-glucosidase [EC:3.2.1.86],Metabolism,B  09101 Carbohydrate metabolism
SLIV_30810,PTS system sugar phosphotransferase componen,D      SLIV_30810 PTS system sugar phosphotransferase component IIA,K02777 crr; sugar PTS system EIIA component [EC:2.7.1.-],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35775,malX; PTS system maltose-and glucose-specifi,D      SLIV_35775 malX; PTS system maltose-and glucose-specific EIICB component,K02791 malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208],Metabolism,B  09101 Carbohydrate metabolism
00020 Citrat,e cycle (TCA cycle) [PATH:slv00020],C    00020 Citrate cycle (TCA cycle) [PATH:slv00020],,Metabolism,B  09101 Carbohydrate metabolism
SLIV_09445,citrate synthase,D      SLIV_09445 citrate synthase,K01647 CS; citrate synthase [EC:2.3.3.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_09450,citrate synthase-like protein,D      SLIV_09450 citrate synthase-like protein,K01647 CS; citrate synthase [EC:2.3.3.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_16490,citA; Putative citrate synthase 2,D      SLIV_16490 citA; Putative citrate synthase 2,K01647 CS; citrate synthase [EC:2.3.3.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_23990,gltA2; Citrate synthase 1,D      SLIV_23990 gltA2; Citrate synthase 1,K01647 CS; citrate synthase [EC:2.3.3.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_08140,acnA; Aconitate hydratase 1,D      SLIV_08140 acnA; Aconitate hydratase 1,K27802 acnA; aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],Metabolism,B  09101 Carbohydrate metabolism
SLIV_04245,icd; Isocitrate dehydrogenase [NADP],D      SLIV_04245 icd; Isocitrate dehydrogenase [NADP],K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03660,"2-oxoglutarate dehydrogenase, E2 component,","D      SLIV_03660 2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase",K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31450,acyltransferase,D      SLIV_31450 acyltransferase,K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],Metabolism,B  09101 Carbohydrate metabolism
SLIV_11955,kgd; Multifunctional 2-oxoglutarate metaboli,D      SLIV_11955 kgd; Multifunctional 2-oxoglutarate metabolism enzyme,K01616 kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26810,dihydrolipoyl dehydrogenase,D      SLIV_26810 dihydrolipoyl dehydrogenase,K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06795,korA1; 2-oxoglutarate oxidoreductase subunit,D      SLIV_06795 korA1; 2-oxoglutarate oxidoreductase subunit KorA,K00174 korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_15295,korA2; 2-oxoglutarate oxidoreductase subunit,D      SLIV_15295 korA2; 2-oxoglutarate oxidoreductase subunit KorA,K00174 korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_06800,korB1; 2-oxoglutarate oxidoreductase subunit,D      SLIV_06800 korB1; 2-oxoglutarate oxidoreductase subunit KorB,K00175 korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_15300,korB2; 2-oxoglutarate oxidoreductase subunit,D      SLIV_15300 korB2; 2-oxoglutarate oxidoreductase subunit KorB,K00175 korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05495,sucD2; Succinyl-CoA ligase [ADP-forming] sub,D      SLIV_05495 sucD2; Succinyl-CoA ligase [ADP-forming] subunit alpha-2,K01902 sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_14320,sucD1; Succinyl-CoA ligase [ADP-forming] sub,D      SLIV_14320 sucD1; Succinyl-CoA ligase [ADP-forming] subunit alpha-1,K01902 sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05500,sucC2; Succinyl-CoA ligase [ADP-forming] sub,D      SLIV_05500 sucC2; Succinyl-CoA ligase [ADP-forming] subunit beta-2,K01903 sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_14325,sucC1; Succinyl-CoA ligase [ADP-forming] sub,D      SLIV_14325 sucC1; Succinyl-CoA ligase [ADP-forming] subunit beta-1,K01903 sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03730,oxidoreductase,D      SLIV_03730 oxidoreductase,K00239 sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_14095,sdhA1; Succinate dehydrogenase flavoprotein,D      SLIV_14095 sdhA1; Succinate dehydrogenase flavoprotein subunit,K00239 sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33315,sdhA2; succinate dehydrogenase flavoprotein,D      SLIV_33315 sdhA2; succinate dehydrogenase flavoprotein subunit,K00239 sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_12855,fumarate reductase iron-sulfur subunit,D      SLIV_12855 fumarate reductase iron-sulfur subunit,K00240 sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_14100,sdhB; Succinate dehydrogenase [ubiquinone] i,D      SLIV_14100 sdhB; Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1,K00240 sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33320,succinate dehydrogenase/fumarate reductase i,D      SLIV_33320 succinate dehydrogenase/fumarate reductase iron-sulfur subunit,K00240 sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_14085,succinate dehydrogenase membrane subunit,D      SLIV_14085 succinate dehydrogenase membrane subunit,K00241 sdhC; succinate dehydrogenase cytochrome b subunit,Metabolism,B  09101 Carbohydrate metabolism
SLIV_33310,cytochrome B subunit,D      SLIV_33310 cytochrome B subunit,K00241 sdhC; succinate dehydrogenase cytochrome b subunit,Metabolism,B  09101 Carbohydrate metabolism
SLIV_14090,succinate dehydrogenase membrane subunit,D      SLIV_14090 succinate dehydrogenase membrane subunit,K00242 sdhD; succinate dehydrogenase membrane anchor subunit,Metabolism,B  09101 Carbohydrate metabolism
SLIV_13165,"fumB; Fumarate hydratase class I, anaerobic","D      SLIV_13165 fumB; Fumarate hydratase class I, anaerobic","K01676 E4.2.1.2A; fumarate hydratase, class I [EC:4.2.1.2]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_13175,fumC; Fumarate hydratase class II,D      SLIV_13175 fumC; Fumarate hydratase class II,"K01679 E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_14235,mdh; Malate dehydrogenase,D      SLIV_14235 mdh; Malate dehydrogenase,K00024 mdh; malate dehydrogenase [EC:1.1.1.37],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35210,pyc-1; Pyruvate carboxylase 1,D      SLIV_35210 pyc-1; Pyruvate carboxylase 1,K01958 PC; pyruvate carboxylase [EC:6.4.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13500,pckG; Phosphoenolpyruvate carboxykinase [GTP,D      SLIV_13500 pckG; Phosphoenolpyruvate carboxykinase [GTP],K01596 E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],Metabolism,B  09101 Carbohydrate metabolism
SLIV_03655,aceE1; Pyruvate dehydrogenase E1 component,D      SLIV_03655 aceE1; Pyruvate dehydrogenase E1 component,K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_25830,aceE2; Pyruvate dehydrogenase E1 component,D      SLIV_25830 aceE2; Pyruvate dehydrogenase E1 component,K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26795,aceE3; Pyruvate dehydrogenase E1 component,D      SLIV_26795 aceE3; Pyruvate dehydrogenase E1 component,K00163 aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_26805,dihydrolipoamide succinyltransferase,D      SLIV_26805 dihydrolipoamide succinyltransferase,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12],Metabolism,B  09101 Carbohydrate metabolism
00030 Pentos,e phosphate pathway [PATH:slv00030],C    00030 Pentose phosphate pathway [PATH:slv00030],,Metabolism,B  09101 Carbohydrate metabolism
SLIV_05215,pgi1; Glucose-6-phosphate isomerase 1,D      SLIV_05215 pgi1; Glucose-6-phosphate isomerase 1,K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28005,pgi2; Glucose-6-phosphate isomerase 2,D      SLIV_28005 pgi2; Glucose-6-phosphate isomerase 2,K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05205,zwf1; Glucose-6-phosphate 1-dehydrogenase,D      SLIV_05205 zwf1; Glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28030,zwf2; Glucose-6-phosphate 1-dehydrogenase,D      SLIV_28030 zwf2; Glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism,B  09101 Carbohydrate metabolism
SLIV_36255,glucose-6-phosphate 1-dehydrogenase,D      SLIV_36255 glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28020,pgl; 6-phosphogluconolactonase,D      SLIV_28020 pgl; 6-phosphogluconolactonase,K01057 PGLS; 6-phosphogluconolactonase [EC:3.1.1.31],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33940,hypothetical protein,D      SLIV_33940 hypothetical protein,K07404 pgl; 6-phosphogluconolactonase [EC:3.1.1.31],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05220,6-phosphogluconate dehydrogenase,D      SLIV_05220 6-phosphogluconate dehydrogenase,K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,B  09101 Carbohydrate metabolism
SLIV_18875,6-phosphogluconate dehydrogenase,D      SLIV_18875 6-phosphogluconate dehydrogenase,K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,B  09101 Carbohydrate metabolism
SLIV_33065,"6-phosphogluconate dehydrogenase, decarboxyl","D      SLIV_33065 6-phosphogluconate dehydrogenase, decarboxylating 2",K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism,B  09101 Carbohydrate metabolism
SLIV_30445,rpe; Ribulose-phosphate 3-epimerase,D      SLIV_30445 rpe; Ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05195,tkt1; Transketolase,D      SLIV_05195 tkt1; Transketolase,K00615 E2.2.1.1; transketolase [EC:2.2.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05940,tkt2; Transketolase,D      SLIV_05940 tkt2; Transketolase,K00615 E2.2.1.1; transketolase [EC:2.2.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28040,tkt3; Transketolase,D      SLIV_28040 tkt3; Transketolase,K00615 E2.2.1.1; transketolase [EC:2.2.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05200,tal1; Transaldolase 1,D      SLIV_05200 tal1; Transaldolase 1,K00616 TALDO1; transaldolase [EC:2.2.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28035,tal2; Transaldolase 2,D      SLIV_28035 tal2; Transaldolase 2,K00616 TALDO1; transaldolase [EC:2.2.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_24530,rpiB; Ribose-5-phosphate isomerase B,D      SLIV_24530 rpiB; Ribose-5-phosphate isomerase B,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31675,sugar-phosphate isomerase,D      SLIV_31675 sugar-phosphate isomerase,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35050,ribose 5-phosphate isomerase,D      SLIV_35050 ribose 5-phosphate isomerase,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Metabolism,B  09101 Carbohydrate metabolism
SLIV_34860,putative phosphoketolase,D      SLIV_34860 putative phosphoketolase,K01621 xfp; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13805,deoxyribose-phosphate aldolase,D      SLIV_13805 deoxyribose-phosphate aldolase,K01619 deoC; deoxyribose-phosphate aldolase [EC:4.1.2.4],Metabolism,B  09101 Carbohydrate metabolism
